SBS1	SBS5	SBS18	SBS2	SBS13	SBS88	SBS89	SBSC	SBS17b	SBS93
PD40734_40	0.240250427268309	0.691870298918112	0.0678792738135785	0	0	0	0	0	0	0
PD40734_39	0.219472418229886	0.711719345377704	0.0688082363924096	0	0	0	0	0	0	0
PD40734_100	0.265255541749824	0.520522192547893	0.214222265702283	0	0	0	0	0	0	0
PD40734_34	0.235914692999132	0.682653761004127	0.0814315459967412	0	0	0	0	0	0	0
PD40734_53	0.264939433400652	0.42112499250759	0.313935574091758	0	0	0	0	0	0	0
PD40734_43	0.224733184851584	0.775266815148416	0	0	0	0	0	0	0	0
PD40734_3	0.212466416847481	0.726240463458886	0.0612931196936324	0	0	0	0	0	0	0
PD40734_47	0.327648356713245	0.55108741960239	0.121264223684366	0	0	0	0	0	0	0
PD40734_89	0.395595771876232	0.506500054579161	0.0979041735446073	0	0	0	0	0	0	0
PD40734_23	0.298442963523437	0.641942961950989	0.0596140745255747	0	0	0	0	0	0	0
PD40734_17	0.312518418739601	0.560223815852387	0.127257765408012	0	0	0	0	0	0	0
PD40734_29	0.302721790200393	0.609449322983075	0.0878288868165318	0	0	0	0	0	0	0
PD40734_45	0.298931214765799	0.631159092926543	0.0699096923076584	0	0	0	0	0	0	0
PD40734_28	0.246449541264191	0.753550458735809	0	0	0	0	0	0	0	0
PD40734_6	0.202296838403458	0.721409863358637	0.0762932982379055	0	0	0	0	0	0	0
PD40734_107	0.336269408601957	0.491580416233535	0.172150175164507	0	0	0	0	0	0	0
PD40734_13	0.26023208821952	0.656662576261401	0.083105335519079	0	0	0	0	0	0	0
PD40734_8	0.195660297614103	0.804339702385897	0	0	0	0	0	0	0	0
PD40734_24	0.243271675906008	0.693055944181525	0.0636723799124675	0	0	0	0	0	0	0
PD40734_18	0.310438750085602	0.549083944261348	0.14047730565305	0	0	0	0	0	0	0
PD40734_75	0.360360708369731	0.480234877099417	0.159404414530852	0	0	0	0	0	0	0
PD40734_19	0.368284693242209	0.414472763934444	0.217242542823347	0	0	0	0	0	0	0
PD40734_22	0.24624055281557	0.670795473951364	0.0829639732330655	0	0	0	0	0	0	0
PD40734_42	0.294391407719534	0.491851533586574	0.213757058693892	0	0	0	0	0	0	0
PD40734_79	0.345093812237895	0.47088895084302	0.184017236919085	0	0	0	0	0	0	0
PD40734_46	0.335429588038781	0.534886712157448	0.129683699803772	0	0	0	0	0	0	0
PD40734_32	0.229494600605195	0.770505399394805	0	0	0	0	0	0	0	0
PD40734_36	0.336179956493223	0.570471935117406	0.0933481083893713	0	0	0	0	0	0	0
PD40734_2	0.19485457051606	0.80514542948394	0	0	0	0	0	0	0	0
PD40734_14	0.295405360046904	0.633930549378269	0.0706640905748262	0	0	0	0	0	0	0
PD40734_16	0.289473910302707	0.461564817348261	0.248961272349032	0	0	0	0	0	0	0
PD40734_21	0.197632351750597	0.733348127582162	0.0690195206672413	0	0	0	0	0	0	0
PD40734_109	0.266719859230582	0.304211428708363	0.429068712061054	0	0	0	0	0	0	0
PD40734_41	0.288421846637002	0.472860182804804	0.238717970558194	0	0	0	0	0	0	0
PD40734_30	0.221764914171001	0.680374262322284	0.0978608235067147	0	0	0	0	0	0	0
PD40734_20	0.219170374672472	0.710586406580228	0.0702432187473	0	0	0	0	0	0	0
PD40734_44	0.255054577388212	0.744945422611788	0	0	0	0	0	0	0	0
PD40734_108	0.277346272068045	0.303849688028562	0.418804039903393	0	0	0	0	0	0	0
PD40734_1	0.23997828859636	0.689580681081359	0.0704410303222811	0	0	0	0	0	0	0
PD40734_106	0.272670861134212	0.590758546573415	0.136570592292372	0	0	0	0	0	0	0
PD40734_48	0.245773352792467	0.650340847608894	0.103885799598639	0	0	0	0	0	0	0
PD40734_54	0.248057472070801	0.512179908410598	0.239762619518601	0	0	0	0	0	0	0
PD40734_25	0.249447911564857	0.665886363395098	0.0846657250400453	0	0	0	0	0	0	0
