parent,node,branch.length,label,isTip,x,y,branch,angle
13,1,2196,PD36814l2,TRUE,2205,5,1107,180
16,2,1326,PD37226i5,TRUE,1408,7,745,252
16,3,1574,PD37226i6,TRUE,1656,8,869,288
17,4,2411,PD37226i7,TRUE,2441,9,1235.5,324
17,5,1358,PD37226i8,TRUE,1388,10,709,360
14,6,2292,PD37265l2,TRUE,2301,6,1155,216
19,7,2106,PD36814l4,TRUE,2113,3,1060,108
19,8,1912,PD37265l6,TRUE,1919,4,963,144
18,9,2645,PD36814l8,TRUE,2652,2,1329.5,72
11,10,2977,PD36814l7,TRUE,2977,1,1488.5,36
11,11,0,,FALSE,0,2.71875,0,97.875
11,12,7,74,FALSE,7,4.4375,3.5,159.75
12,13,2,67,FALSE,9,6.125,8,220.5
13,14,0,87,FALSE,9,7.25,9,261
14,15,19,100,FALSE,28,8.5,18.5,306
15,16,54,100,FALSE,82,7.5,55,270
15,17,2,99,FALSE,30,9.5,29,342
12,18,0,15,FALSE,7,2.75,7,99
18,19,0,42,FALSE,7,3.5,7,126
