parent,node,branch.length,label,isTip,x,y,branch,angle
17,1,3081,PD36813k,TRUE,3108,5,1567.5,163.636363636364
18,2,4408,PD36813k3,TRUE,4458,6,2254,196.363636363636
18,3,2875,PD36813k5,TRUE,2925,7,1487.5,229.090909090909
16,4,2336,PD36813z7,TRUE,2347,4,1179,130.909090909091
19,5,2963,PD36813z15,TRUE,2980,8,1498.5,261.818181818182
20,6,2983,PD36813z4,TRUE,3015,9,1523.5,294.545454545455
21,7,3215,PD36813z5,TRUE,3248,10,1640.5,327.272727272727
21,8,3189,PD36813z6,TRUE,3222,11,1627.5,360
14,9,2345,PD36813o9,TRUE,2350,3,1177.5,98.1818181818182
13,10,2104,PD36813z8,TRUE,2109,2,1057,65.4545454545455
12,11,1668,PD36813o2,TRUE,1668,1,834,32.7272727272727
12,12,0,,FALSE,0,2.234375,0,73.125
12,13,5,82,FALSE,5,3.46875,2.5,113.522727272727
13,14,0,29,FALSE,5,4.9375,5,161.590909090909
14,15,4,99,FALSE,9,6.875,7,225
15,16,2,100,FALSE,11,4.875,10,159.545454545455
16,17,16,100,FALSE,27,5.75,19,188.181818181818
17,18,23,100,FALSE,50,6.5,38.5,212.727272727273
15,19,8,100,FALSE,17,8.875,13,290.454545454545
19,20,15,100,FALSE,32,9.75,24.5,319.090909090909
20,21,1,99,FALSE,33,10.5,32.5,343.636363636364
