parent,node,branch.length,label,isTip,x,y,branch,angle
9,1,1795,PD36814c2,TRUE,1795,1,897.5,45
11,2,2388,PD36814c3,TRUE,2404,5,1210,225
12,3,1833,PD36814c4,TRUE,1849,6,932.5,270
13,4,2298,PD37226b5,TRUE,2324,7,1175,315
13,5,2225,PD37226b6,TRUE,2251,8,1138.5,360
15,6,1127,PD37265c2,TRUE,1443,3,879.5,135
15,7,1393,PD37265c3,TRUE,1709,4,1012.5,180
14,8,2305,PD37265c5,TRUE,2324,2,1171.5,90
9,9,0,,FALSE,0,2.65625,0,119.53125
9,10,16,55,FALSE,16,4.3125,8,194.0625
10,11,0,9,FALSE,16,5.875,16,264.375
11,12,0,31,FALSE,16,6.75,16,303.75
12,13,10,100,FALSE,26,7.5,21,337.5
10,14,3,60,FALSE,19,2.75,17.5,123.75
14,15,297,100,FALSE,316,3.5,167.5,157.5
